County,Year,Population,Males,Females,White Males,White Females,Black Males,Black Females,Native Males,Native Females,Asian Males,Asian Females,Hawaiian Male,Hawaiian Females,Multi-Race Males,Multi-Race Females,White-Mixed Males,White-Mixed Females,Black-Mixed Males,Black-Mixed Females,Native-Mixed Males,Native-Mixed Females,Asian-Mixed Males,Asian-Mixed Females,Hawaiian-Mixed Males,Hawaiian-Mixed Females,Not-Hispanic Males,Not-Hispanic Females,Not-Hispanic White Males,Not-Hispanic White Females,Not-Hispanic Black Males,Not-Hispanic Black Males.1,Not-Hispanic Native Male,Not-Hispanic Native Female,Not-Hispanic Asian Male,Not-Hispanic Asian Female,Not-Hispanic Hawaiian Male,Not-Hispanic Hawaiian Female,Not_Hispanic Mixed Males,Not_Hispanic Mixed Females, Not_Hispanic White-Mixed Males, Not_Hispanic White-Mixed Females, Not_Hispanic Black-Mixed Males, Not_Hispanic Black-Mixed Males.1, Not_Hispanic Native-Mixed Males, Not_Hispanic Native-Mixed Females, Not_Hispanic Asian-Mixed Males, Not_Hispanic Asian-Mixed Females, Not_Hispanic Hawaiian-Mixed Males, Not_Hispanic Hawaiian-Mixed Females,Hispanic Males,Hispanic Females,Hispanic-White Males,Hispanic-White Females,Hispanic-Black Males,Hispanic-Black Females,Hispanic-Native Males,Hispanic-Native Females,Hispanic-Asian Males,Hispanic-Asian Females,Hispanic-Hawaiian Males,Hispanic-Hawaiian Females,Hispanic-Mixed Males,Hispanic-Mixed Females,Hispanic-White Mixed Males,Hispanic-White Mixed Females,Hispanic-Black Mixed Males,Hispanic-Black Mixed Females,Hispanic-Native Mixed Males,Hispanic-Native Mixed Females,Hispanic-Asian Mixed Males,Hispanic-Asian Mixed Females,Hispanic-Hawaiian Mixed Males,Hispanic-Hawaiian Mixed Females
Alameda  ,2001,1468652,723957,744695,430526,426851,101773,116649,5637,5547,156859,164892,5425,5395,23737,25361,449640,447040,108984,124739,11931,12687,170629,179323,9223,9489,575388,608098,295776,304149,97463,112239,2677,2959,154538,162438,4721,4688,20213,21625,311840,321162,103561,119109,7530,8549,166746,175173,8037,8235,148569,136597,134750,122702,4310,4410,2960,2588,2321,2454,704,707,3524,3736,137800,125878,5423,5630,4401,4138,3883,4150,1186,1254
Alameda  ,2002,1460438,720008,740430,426013,422003,98418,113065,5651,5592,160649,169213,5488,5355,23789,25202,445179,442080,105705,121078,11866,12504,174578,183608,9335,9485,569484,601901,289352,297454,94169,108658,2666,2965,158301,166718,4772,4658,20224,21448,305450,314327,100305,115446,7418,8342,170623,179398,8121,8235,150524,138529,136661,124549,4249,4407,2985,2627,2348,2495,716,697,3565,3754,139729,127753,5400,5632,4448,4162,3955,4210,1214,1250
Alameda  ,2003,1451418,715373,736045,421147,417397,95566,110066,5691,5591,163392,172403,5544,5374,24033,25214,440535,437514,102936,118134,11790,12408,177481,186885,9506,9482,563787,596453,283480,291778,91320,105620,2677,2969,161044,169916,4824,4676,20442,21494,299774,308725,97547,112470,7333,8277,173497,182699,8249,8241,151586,139592,137667,125619,4246,4446,3014,2622,2348,2487,720,698,3591,3720,140761,128789,5389,5664,4457,4131,3984,4186,1257,1241
Alameda  ,2004,1441496,710595,730901,416592,412797,93024,107047,5729,5611,165650,174780,5528,5388,24072,25278,436080,433034,100504,115174,11782,12340,179809,189365,9436,9513,558151,590114,278065,286023,88828,102640,2717,2988,163284,172275,4799,4693,20458,21495,294428,303024,95144,109513,7313,8194,175792,185127,8183,8236,152444,140787,138527,126774,4196,4407,3012,2623,2366,2505,729,695,3614,3783,141652,130010,5360,5661,4469,4146,4017,4238,1253,1277
Alameda  ,2005,1435870,708070,727800,413816,409781,90566,104032,5748,5672,168144,177378,5587,5483,24209,25454,433445,430191,98100,112234,11708,12325,182469,192076,9535,9637,553931,585291,273648,281386,86369,99644,2760,3037,165730,174834,4864,4775,20560,21615,290100,298525,92714,106583,7279,8175,178360,187771,8263,8353,154139,142509,140168,128395,4197,4388,2988,2635,2414,2544,723,708,3649,3839,143345,131666,5386,5651,4429,4150,4109,4305,1272,1284
Alameda  ,2006,1437154,708718,728436,413033,408923,88964,102296,5814,5691,170698,180297,5580,5500,24629,25729,433013,429583,96660,110649,11753,12329,185234,195217,9563,9716,552167,583767,270649,278481,84707,97889,2793,3063,168245,177758,4855,4779,20918,21797,287408,295776,91210,104934,7275,8147,181076,190858,8286,8388,156551,144669,142384,130442,4257,4407,3021,2628,2453,2539,725,721,3711,3932,145605,133807,5450,5715,4478,4182,4158,4359,1277,1328
Alameda  ,2007,1447863,715079,732784,415719,410400,87958,100882,5997,5697,174511,183974,5632,5550,25262,26281,436267,431524,95944,109452,12003,12365,189486,199262,9728,9864,554759,584815,269814,276925,83689,96389,2900,3050,172013,181388,4897,4828,21446,22235,287069,294607,90423,103599,7431,8122,185232,194785,8424,8517,160320,147969,145905,133475,4269,4493,3097,2647,2498,2586,735,722,3816,4046,149198,136917,5521,5853,4572,4243,4254,4477,1304,1347
Alameda  ,2008,1468793,725967,742826,420933,415039,87556,100119,6132,5854,179767,189101,5738,5658,25841,27055,441989,436829,95806,108956,12215,12598,195104,204845,9925,10070,560184,590164,270049,277286,83114,95554,2953,3138,177229,186398,4982,4916,21857,22872,287658,295519,90047,103004,7504,8264,190698,200181,8567,8689,165783,152662,150884,137753,4442,4565,3179,2716,2538,2703,756,742,3984,4183,154331,141310,5759,5952,4711,4334,4406,4664,1358,1381
Alameda  ,2009,1489583,736528,753055,425753,419972,87604,100112,6353,6044,184336,193373,5837,5778,26645,27776,447484,442407,96192,109223,12534,12875,200155,209586,10142,10287,566315,595814,271030,278235,82993,95318,3008,3228,181709,190595,5061,5009,22514,23429,289197,296945,90201,102996,7601,8382,195577,204771,8746,8854,170213,157241,154723,141737,4611,4794,3345,2816,2627,2778,776,769,4131,4347,158287,145462,5991,6227,4933,4493,4578,4815,1396,1433
Alameda  ,2010,1512986,741756,771230,400719,398894,93307,105553,9066,8695,194604,211665,7226,7598,36834,38825,431441,430825,104640,118353,18628,19498,216403,233929,11859,12746,568275,604202,256133,260960,86500,98347,1985,2258,189822,206795,6065,6393,27770,29449,278870,284667,95110,108165,6393,7789,208443,225701,9718,10468,173481,167028,144586,137934,6807,7206,7081,6437,4782,4870,1161,1205,9064,9376,152571,146158,9530,10188,12235,11709,7960,8228,2141,2278
